epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.4496,1.83945,1.36137,1.22631,0.7946,0.70089,0.77495,0.44466,1.53874,0.84433,1.12206,0.00333009,0.00333009,0.00333009
2,128.159,1.63079,0.87021,1.11121,0.81763,0.74539,0.81216,0.47236,1.49573,0.80913,1.08432,0.00659745,0.00659745,0.00659745
3,184.91,1.61618,0.85333,1.09504,0.83032,0.73616,0.81543,0.47576,1.49112,0.80176,1.07004,0.00979882,0.00979882,0.00979882
4,241.105,1.58818,0.82821,1.07854,0.85074,0.76672,0.84072,0.50216,1.44079,0.74661,1.05588,0.009703,0.009703,0.009703
5,297.385,1.54219,0.79635,1.06229,0.85772,0.76581,0.8449,0.51382,1.42013,0.73061,1.03822,0.009604,0.009604,0.009604
6,353.258,1.52033,0.77395,1.05014,0.85557,0.77583,0.84721,0.51661,1.41019,0.71209,1.03371,0.009505,0.009505,0.009505
7,412.088,1.50401,0.75901,1.04496,0.86131,0.77429,0.85435,0.52048,1.41083,0.6996,1.03383,0.009406,0.009406,0.009406
8,470.623,1.48572,0.7431,1.03708,0.86789,0.78234,0.85932,0.52584,1.39659,0.69015,1.02537,0.009307,0.009307,0.009307
9,529.464,1.4777,0.73555,1.03258,0.86626,0.78941,0.8623,0.53106,1.38557,0.67872,1.02516,0.009208,0.009208,0.009208
10,587.777,1.46785,0.72569,1.02882,0.86544,0.78452,0.86281,0.53028,1.38437,0.68625,1.02079,0.009109,0.009109,0.009109
11,648.654,1.45893,0.71896,1.02453,0.87229,0.78746,0.86439,0.53254,1.38623,0.67038,1.02069,0.00901,0.00901,0.00901
12,709.479,1.45057,0.71314,1.02368,0.87618,0.79785,0.87245,0.53962,1.37526,0.66371,1.01408,0.008911,0.008911,0.008911
13,769.786,1.4445,0.70571,1.02129,0.87877,0.79316,0.86835,0.53993,1.37361,0.65999,1.01586,0.008812,0.008812,0.008812
14,830.562,1.4444,0.70217,1.01737,0.88205,0.79601,0.87483,0.54331,1.36557,0.6521,1.01292,0.008713,0.008713,0.008713
15,891.214,1.43166,0.69486,1.01549,0.8793,0.80283,0.87725,0.54534,1.36536,0.64512,1.0096,0.008614,0.008614,0.008614
16,952.022,1.43093,0.69334,1.01427,0.87544,0.80263,0.87656,0.5463,1.36267,0.64396,1.00879,0.008515,0.008515,0.008515
17,1013.11,1.43093,0.6883,1.01114,0.88138,0.80377,0.87488,0.5465,1.36037,0.63754,1.01192,0.008416,0.008416,0.008416
18,1073.25,1.42229,0.68439,1.0127,0.88123,0.80493,0.87902,0.54927,1.35623,0.63564,1.00614,0.008317,0.008317,0.008317
19,1134.79,1.42,0.68101,1.00687,0.88431,0.80745,0.88236,0.55311,1.35303,0.63292,1.00189,0.008218,0.008218,0.008218
20,1195.26,1.41457,0.67797,1.00875,0.88253,0.81158,0.88213,0.55215,1.35148,0.63009,1.00421,0.008119,0.008119,0.008119
21,1255.65,1.41347,0.67526,1.0054,0.88562,0.81173,0.88441,0.55418,1.3488,0.62602,1.00099,0.00802,0.00802,0.00802
22,1316.49,1.4137,0.67471,1.00389,0.88711,0.80917,0.88505,0.55527,1.34561,0.62488,0.99783,0.007921,0.007921,0.007921
23,1376.76,1.40691,0.66997,1.00249,0.8848,0.81588,0.88583,0.55697,1.34681,0.62056,0.99725,0.007822,0.007822,0.007822
24,1437.72,1.40463,0.66754,1.00073,0.89046,0.81209,0.88667,0.55784,1.34456,0.61819,0.99809,0.007723,0.007723,0.007723
25,1498.4,1.40079,0.66511,0.99999,0.88863,0.80921,0.88505,0.55569,1.34396,0.62128,0.99741,0.007624,0.007624,0.007624
26,1559.39,1.40087,0.66278,0.99549,0.89134,0.81483,0.88944,0.56103,1.33856,0.6155,0.99389,0.007525,0.007525,0.007525
27,1619.62,1.39615,0.65957,0.99513,0.88916,0.81634,0.88756,0.55967,1.33993,0.61155,0.99421,0.007426,0.007426,0.007426
28,1680.18,1.39578,0.65905,0.99348,0.89031,0.8176,0.88903,0.56049,1.33746,0.60963,0.99108,0.007327,0.007327,0.007327
29,1740.25,1.39183,0.6554,0.99413,0.88906,0.81293,0.88519,0.55801,1.33884,0.61249,0.99068,0.007228,0.007228,0.007228
30,1800.97,1.39022,0.65396,0.99023,0.89027,0.81944,0.88999,0.56311,1.33105,0.60754,0.98736,0.007129,0.007129,0.007129
31,1862,1.39129,0.65403,0.98902,0.89011,0.82081,0.8915,0.56399,1.33431,0.60395,0.98699,0.00703,0.00703,0.00703
32,1922.72,1.3881,0.65273,0.98835,0.89254,0.81923,0.89216,0.56477,1.32861,0.60428,0.98635,0.006931,0.006931,0.006931
